,bathrooms,bedrooms,bhk,dist_arprt,host_count,latitude,longitude,metrostn_count,minstay,neighborhood,overall_satisfaction,price,rest_count,reviews,review_count,room_id,room_type
43,1.0,1.0,1.0,0.251721976604,8989,41.893828,12.475374,13,3.0,Municipio 1,4.5,139.0,77,13,140078,2202825,Entire home/apt
44,1.0,1.0,1.0,0.251721976604,8989,41.888161,12.495913,13,1.0,Municipio 1,3.5,93.0,77,4,140078,2205576,Private room
45,1.0,1.0,1.0,0.251721976604,8989,41.908282,12.445564,13,1.0,Municipio 1,2.0,92.0,77,0,140078,6980004,Private room
46,1.0,1.0,1.0,0.251721976604,8989,41.890908,12.508214,13,2.0,Municipio 1,5.0,121.0,77,84,140078,2137622,Entire home/apt
47,1.0,1.0,1.0,0.251721976604,8989,41.909396,12.452409,13,2.0,Municipio 1,2.0,58.0,77,0,140078,6972998,Private room
48,1.0,1.0,1.0,0.251721976604,8989,41.872851,12.488846,13,1.0,Municipio 1,2.0,81.0,77,0,140078,2154600,Private room
49,1.0,1.0,1.0,0.251721976604,8989,41.889538,12.468126,13,2.0,Municipio 1,5.0,81.0,77,89,140078,2157401,Entire home/apt
50,1.0,1.0,1.0,0.251721976604,8989,41.89434,12.470963,13,2.0,Municipio 1,2.0,117.0,77,0,140078,2157909,Entire home/apt
51,1.0,1.0,1.0,0.251721976604,8989,41.900132,12.475164,13,1.0,Municipio 1,2.0,183.0,77,0,140078,2160084,Private room
52,1.0,1.0,1.0,0.251721976604,8989,41.898755,12.475653,13,1.0,Municipio 1,2.0,183.0,77,0,140078,2160114,Private room
53,1.0,1.0,1.0,0.251721976604,8989,41.895497,12.481792,13,2.0,Municipio 1,5.0,174.0,77,6,140078,2125357,Private room
54,1.0,1.0,1.0,0.251721976604,8989,41.909336,12.454143,13,1.0,Municipio 1,2.0,85.0,77,0,140078,2161569,Private room
55,1.0,1.0,1.0,0.251721976604,8989,41.914958,12.453425,13,2.0,Municipio 1,4.0,81.0,77,16,140078,2163575,Entire home/apt
56,1.0,1.0,1.0,0.251721976604,8989,41.901453,12.472014,13,2.0,Municipio 1,5.0,115.0,77,37,140078,2153298,Entire home/apt
57,1.0,1.0,1.0,0.251721976604,8989,41.908821,12.452285,13,2.0,Municipio 1,2.0,58.0,77,0,140078,6973144,Private room
58,1.0,1.0,1.0,0.251721976604,8989,41.903625,12.458576,13,2.0,Municipio 1,4.5,58.0,77,71,140078,2152075,Entire home/apt
59,1.0,1.0,1.0,0.251721976604,8989,41.897276,12.475577,13,2.0,Municipio 1,3.5,115.0,77,2,140078,2137850,Entire home/apt
60,1.0,1.0,1.0,0.251721976604,8989,41.887808,12.467888,13,3.0,Municipio 1,4.5,113.0,77,16,140078,2138011,Entire home/apt
61,1.0,1.0,1.0,0.251721976604,8989,41.898698,12.466766,13,3.0,Municipio 1,2.0,149.0,77,0,140078,2139690,Entire home/apt
62,2.0,1.0,1.0,0.251721976604,8989,41.890647,12.504303,13,1.0,Municipio 1,4.5,74.0,77,65,140078,2141181,Private room
63,1.0,1.0,1.0,0.251721976604,8989,41.903221,12.494462,13,3.0,Municipio 1,2.0,173.0,77,0,140078,6967293,Entire home/apt
64,1.0,1.0,1.0,0.251721976604,8989,41.900024,12.470947,13,3.0,Municipio 1,4.5,109.0,77,70,140078,2122587,Entire home/apt
65,1.0,1.0,1.0,0.251721976604,8989,41.888606,12.472244,13,2.0,Municipio 1,4.5,92.0,77,57,140078,2121721,Entire home/apt
66,1.0,1.0,1.0,0.251721976604,8989,41.906489,12.457656,13,2.0,Municipio 1,4.0,87.0,77,3,140078,2120178,Private room
67,2.0,1.0,1.0,0.251721976604,8989,41.898628,12.467203,13,1.0,Municipio 1,4.5,109.0,77,13,140078,2206730,Private room
68,2.0,1.0,1.0,0.251721976604,8989,41.898629,12.467792,13,1.0,Municipio 1,4.0,109.0,77,9,140078,2207013,Private room
69,1.0,1.0,1.0,0.251721976604,8989,41.907749,12.479952,13,2.0,Municipio 1,5.0,139.0,77,1,140078,6966798,Entire home/apt
70,1.0,1.0,1.0,0.251721976604,8989,41.90194,12.483344,13,2.0,Municipio 1,4.5,150.0,77,26,140078,2220491,Entire home/apt
71,1.0,1.0,1.0,0.251721976604,8989,41.908533,12.456958,13,1.0,Municipio 1,2.0,108.0,77,0,140078,2164597,Private room
72,1.0,1.0,1.0,0.251721976604,8989,41.90915,12.455702,13,3.0,Municipio 1,2.0,150.0,77,0,140078,2130129,Entire home/apt
