,bathrooms,bedrooms,bhk,dist_arprt,host_count,latitude,longitude,metrostn_count,minstay,neighborhood,overall_satisfaction,price,rest_count,reviews,review_count,room_id,room_type
12221,1.0,1.0,1.0,0.15972051983,2572,52.546681,13.419046,5,2.0,Pankow,5.0,87.0,8,5,40694,1089060,Entire home/apt
12222,1.0,1.0,1.0,0.15972051983,2572,52.541945,13.408247,5,1.0,Pankow,5.0,104.0,8,5,40694,412965,Private room
12223,1.0,1.0,1.0,0.15972051983,2572,52.534135,13.450074,5,1.0,Pankow,3.5,36.0,8,7,40694,7269181,Private room
12224,1.0,1.0,1.0,0.15972051983,2572,52.536509,13.412707,5,2.0,Pankow,5.0,93.0,8,33,40694,1110081,Entire home/apt
12225,1.0,1.0,1.0,0.15972051983,2572,52.535282,13.449439,5,1.0,Pankow,3.0,36.0,8,6,40694,7269244,Private room
12226,1.0,1.0,1.0,0.15972051983,2572,52.564031,13.418444,5,1.0,Pankow,2.0,55.0,8,0,40694,7271238,Private room
12227,1.0,1.0,1.0,0.15972051983,2572,52.536532,13.42613,5,60.0,Pankow,4.5,80.0,8,15,40694,679910,Entire home/apt
12228,1.0,1.0,1.0,0.15972051983,2572,52.607618,13.47071,5,2.0,Pankow,4.5,24.0,8,9,40694,2062279,Shared room
12229,1.0,1.0,1.0,0.15972051983,2572,52.578969,13.399527,5,1.0,Pankow,2.0,33.0,8,0,40694,9258549,Private room
12230,1.0,1.0,1.0,0.15972051983,2572,52.550042,13.414884,5,3.0,Pankow,2.0,185.0,8,0,40694,9260285,Entire home/apt
12231,1.0,1.0,1.0,0.15972051983,2572,52.547914,13.41005,5,1.0,Pankow,5.0,36.0,8,2,40694,9262826,Private room
12232,1.0,1.0,1.0,0.15972051983,2572,52.546056,13.421461,5,4.0,Pankow,5.0,38.0,8,1,40694,595348,Private room
12233,1.0,1.0,1.0,0.15972051983,2572,52.538993,13.409389,5,1.0,Pankow,4.5,22.0,8,4,40694,7254025,Private room
12234,1.0,1.0,1.0,0.15972051983,2572,52.534529,13.428093,5,1.0,Pankow,2.0,44.0,8,0,40694,7506939,Private room
12235,1.0,1.0,1.0,0.15972051983,2572,52.540309,13.411761,5,1.0,Pankow,5.0,55.0,8,6,40694,7506933,Private room
12236,1.0,1.0,1.0,0.15972051983,2572,52.534123,13.450647,5,1.0,Pankow,3.5,36.0,8,6,40694,7255326,Private room
12237,1.0,1.0,1.0,0.15972051983,2572,52.536069,13.427501,5,7.0,Pankow,5.0,131.0,8,14,40694,1262694,Entire home/apt
12238,1.0,1.0,1.0,0.15972051983,2572,52.530848,13.409079,5,1.0,Pankow,5.0,50.0,8,23,40694,7503186,Private room
12239,1.0,1.0,1.0,0.15972051983,2572,52.529286,13.412952,5,2.0,Pankow,4.5,74.0,8,2,40694,1263828,Entire home/apt
12240,1.0,1.0,1.0,0.15972051983,2572,52.551118,13.421579,5,2.0,Pankow,4.5,36.0,8,20,40694,1264154,Private room
12241,1.0,1.0,1.0,0.15972051983,2572,52.54603,13.412413,5,1.0,Pankow,5.0,33.0,8,32,40694,625018,Private room
12242,1.0,1.0,1.0,0.15972051983,2572,52.534148,13.435064,5,1.0,Pankow,4.5,55.0,8,6,40694,7500554,Entire home/apt
12243,1.0,1.0,1.0,0.15972051983,2572,52.539516,13.423619,5,1.0,Pankow,4.5,27.0,8,8,40694,7239371,Private room
12244,1.0,1.0,1.0,0.15972051983,2572,52.543137,13.417119,5,3.0,Pankow,2.0,60.0,8,0,40694,622768,Entire home/apt
12245,1.0,1.0,1.0,0.15972051983,2572,52.543049,13.410724,5,2.0,Pankow,5.0,37.0,8,38,40694,959505,Private room
12246,1.0,1.0,1.0,0.15972051983,2572,52.534321,13.418144,5,3.0,Pankow,4.5,98.0,8,20,40694,592030,Entire home/apt
12247,1.0,1.0,1.0,0.15972051983,2572,52.551785,13.463516,5,2.0,Pankow,5.0,41.0,8,22,40694,1362184,Entire home/apt
12248,1.0,1.0,1.0,0.15972051983,2572,52.553161,13.413392,5,3.0,Pankow,5.0,55.0,8,17,40694,1363187,Entire home/apt
12249,1.0,1.0,1.0,0.15972051983,2572,52.550466,13.418064,5,4.0,Pankow,2.0,76.0,8,1,40694,594028,Entire home/apt
12250,1.0,1.0,1.0,0.15972051983,2572,52.550342,13.457597,5,1.0,Pankow,4.5,22.0,8,14,40694,7519669,Private room
12251,1.0,1.0,1.0,0.15972051983,2572,52.549411,13.419038,5,2.0,Pankow,5.0,65.0,8,3,40694,7223512,Entire home/apt
12252,1.0,1.0,1.0,0.15972051983,2572,52.553593,13.413737,5,3.0,Pankow,2.0,38.0,8,0,40694,7512478,Private room
12253,1.0,1.0,1.0,0.15972051983,2572,52.548046,13.409202,5,5.0,Pankow,5.0,76.0,8,1,40694,7511871,Entire home/apt
12254,1.0,1.0,1.0,0.15972051983,2572,52.538871,13.41672,5,90.0,Pankow,5.0,109.0,8,1,40694,966718,Entire home/apt
12255,1.0,1.0,1.0,0.15972051983,2572,52.54599,13.415618,5,3.0,Pankow,5.0,84.0,8,6,40694,7510382,Entire home/apt
12256,1.0,1.0,1.0,0.15972051983,2572,52.536673,13.418109,5,2.0,Pankow,5.0,93.0,8,22,40694,728981,Entire home/apt
12257,1.0,1.0,1.0,0.15972051983,2572,52.535462,13.449753,5,1.0,Pankow,4.0,27.0,8,5,40694,7507307,Private room
12258,1.0,1.0,1.0,0.15972051983,2572,52.536983,13.42943,5,180.0,Pankow,5.0,21.0,8,10,40694,1272082,Entire home/apt
12259,1.0,1.0,1.0,0.15972051983,2572,52.535109,13.450832,5,1.0,Pankow,3.5,36.0,8,3,40694,7507258,Private room
12260,1.0,1.0,1.0,0.15972051983,2572,52.555626,13.415922,5,1.0,Pankow,5.0,51.0,8,4,40694,7240795,Entire home/apt
12261,1.0,1.0,1.0,0.15972051983,2572,52.546709,13.414617,5,4.0,Pankow,5.0,65.0,8,4,40694,7521909,Entire home/apt
12262,1.0,1.0,1.0,0.15972051983,2572,52.552656,13.41979,5,4.0,Pankow,5.0,53.0,8,1,40694,7386727,Entire home/apt
12263,1.0,1.0,1.0,0.15972051983,2572,52.552212,13.412947,5,2.0,Pankow,4.5,71.0,8,46,40694,1248502,Entire home/apt
12264,1.0,1.0,1.0,0.15972051983,2572,52.530574,13.414781,5,5.0,Pankow,5.0,81.0,8,37,40694,631956,Entire home/apt
12265,1.0,1.0,1.0,0.15972051983,2572,52.548406,13.411088,5,1.0,Pankow,5.0,53.0,8,14,40694,631488,Entire home/apt
12266,1.0,1.0,1.0,0.15972051983,2572,52.538077,13.429984,5,3.0,Pankow,4.5,34.0,8,11,40694,7382407,Private room
12267,1.0,1.0,1.0,0.15972051983,2572,52.537476,13.410184,5,2.0,Pankow,3.5,73.0,8,2,40694,7381570,Entire home/apt
12268,1.0,1.0,1.0,0.15972051983,2572,52.558353,13.435641,5,2.0,Pankow,4.5,98.0,8,36,40694,627152,Entire home/apt
12269,1.0,1.0,1.0,0.15972051983,2572,52.533787,13.420814,5,3.0,Pankow,4.0,87.0,8,5,40694,7413283,Entire home/apt
12270,1.0,1.0,1.0,0.15972051983,2572,52.566255,13.413494,5,2.0,Pankow,5.0,22.0,8,4,40694,7377026,Private room
